date	cppi	hold1	fix	hold2
94	168624.8483	170291.3853	171942.4978	170158.6379
95	169613.7662	171340.1204	173055.68	171202.8057
96	170610.3949	172397.2127	174177.9215	172255.28
97	171614.8021	173462.7362	175309.303	173316.1344
98	172627.0562	174536.7654	176449.9061	174385.4431
99	173647.2263	175619.3757	177599.8129	175463.2808
100	174675.382	176710.6433	178759.1065	176549.7232
101	175711.5937	177810.6448	179927.8705	177644.8464
102	176755.9322	178919.4577	181106.1897	178748.7274
103	177808.4693	180037.1602	182294.1491	179861.4438
104	178869.2771	181163.8311	183491.8351	180983.0741
105	179938.4286	182299.5501	184699.3344	182113.6972
106	181015.9975	183444.3976	185916.7348	183253.393
107	182102.0579	184598.4546	187144.1247	184402.2421
108	183196.6849	185761.8029	188381.5936	185560.3257
109	184299.9542	186934.5253	189629.2316	186727.7259
110	185411.942	188116.705	190887.1297	187904.5255
111	186532.7255	189308.4262	192155.3797	189090.808
112	187662.3824	190509.7738	193434.0743	190286.6579
113	188800.9912	191720.8335	194723.307	191492.1601
114	189948.6311	192941.6918	196023.1723	192707.4007
115	191105.382	194172.4359	197333.7654	193932.4663
116	192105.0561	195167.4444	198339.8134	194930.4255
117	193112.0826	196169.6593	199353.101	195935.6311
118	194126.5251	197179.1424	200373.6901	196948.1452
119	195148.4477	198195.956	201401.6429	197968.0304
120	196177.9151	199220.1629	202437.0222	198995.3502
121	197214.9926	200251.8267	203479.8916	200030.1684
122	198259.7461	201291.0114	204530.315	201072.5495
123	199312.2421	202337.7816	205588.357	202122.5584
124	200372.5478	203392.2025	206654.0827	203180.2609
125	201440.7307	204454.34	207727.558	204245.7232
126	202516.8594	205524.2604	208808.8492	205319.0121
127	203601.0027	206602.0307	209898.0232	206400.1952
128	204693.2303	207687.7186	210995.1478	207489.3404
129	205793.6125	208781.3924	212100.291	208586.5166
130	206902.2201	209883.1209	213213.5218	209691.793
131	208019.1248	210992.9737	214334.9095	210805.2396
132	209144.3986	212111.0208	215464.5243	211926.927
133	210278.1146	213237.3332	216602.4368	213056.9266
134	211420.3463	214371.9821	217748.7185	214195.3101
135	212571.1679	215515.0397	218903.4414	215342.1502
136	213730.6542	216666.5788	220066.6781	216497.5201
137	214898.881	217826.6728	221238.5021	217661.4938
138	216075.9245	218995.3958	222418.9873	218834.1457
139	217261.8617	220172.8226	223608.2085	220015.5513
140	218456.7703	221359.0285	224806.241	221205.7865
141	219660.7288	222554.0899	226013.1609	222404.9278
142	220873.8164	223758.0835	227229.0449	223613.0528
143	222096.1128	224971.0868	228453.9706	224830.2394
144	223388.7403	226339.8839	229688.016	226056.5666
145	224691.4302	227719.5393	230931.2602	227292.1137
146	226004.2709	229110.1489	232409.0887	228664.9421
147	227327.3519	230511.8097	233898.8784	230048.623
148	228660.7633	231924.6195	235400.7358	231443.2521
149	230004.5961	233348.677	236914.768	232848.9262
150	231358.9421	234784.082	238441.0836	234265.743
151	232723.8941	236230.9348	239979.7918	235693.801
152	234099.5456	237689.337	241531.0029	237133.1996
153	235485.9909	239159.391	243094.8283	238584.0393
154	236883.3254	240641.2002	244671.3804	240046.4212
155	238291.6452	242134.8689	246260.7726	241520.4477
156	239711.0473	243640.5023	247863.1194	243006.2218
157	241141.6296	245158.2067	249478.5363	244503.8477
158	242583.4911	246688.0894	251107.1399	246013.4305
159	244036.7314	248230.2585	252749.0479	247535.0762
160	245501.4512	249784.8233	254404.379	249068.8919
161	246977.7521	251351.894	256073.2531	250614.9855
162	248465.7367	252931.5819	257755.7911	252173.4661
163	249965.5084	254523.9992	259452.1151	253744.4436
164	251477.1717	256129.2592	261162.3484	255328.0292
165	253000.832	257747.4763	262886.6153	256924.3349
166	254536.5956	259378.766	264625.0412	258533.4737
167	256084.5699	261023.2446	266377.7529	260155.5599
168	257644.8633	262681.0299	268144.8782	261790.7085
169	259217.5851	264352.2403	269926.546	263439.036
170	260802.8458	266036.9958	271722.8867	265100.6595
171	262400.7566	267735.417	273534.0316	266775.6975
172	263779.9955	269107.7913	275360.1133	268464.2696
173	265169.434	270490.1236	277201.2657	270166.4963
174	266569.1607	271882.4994	278614.6235	271563.081
175	267979.2647	273285.0051	280038.1527	272969.8521
176	269399.8363	274697.7277	281471.9399	274386.8972
177	270830.9663	276120.7551	282916.0727	275814.3047
178	272272.7466	277554.1758	284370.6394	277252.1638
179	273725.2697	278998.0794	285835.7291	278700.5647
180	275188.6292	280452.5562	287311.4317	280159.5982
181	276662.9193	281917.6972	288797.838	281629.3561
182	278148.2354	283393.5945	290295.0396	283109.9309
183	279644.6734	284880.3408	291803.1287	284601.416
184	281152.3304	286378.0298	293322.1988	286103.9057
185	282671.3043	287886.756	294852.3439	287617.4951
186	284201.6938	289406.6147	296393.6589	289142.2803
187	285743.5985	290937.7023	297946.2397	290678.3581
188	287297.1192	292480.1158	299510.1829	292225.8263
189	288862.3573	294033.9532	301085.5862	293784.7836
190	290439.4154	295599.3136	302672.5481	295355.3296
191	292028.3968	297176.2966	304271.1678	296937.5648
192	293629.4059	298765.0031	305881.5457	298531.5906
193	295242.548	300365.5348	307503.783	300137.5093
194	296867.9295	301977.9942	309137.9817	301755.4242
195	298505.6577	303602.4849	310784.245	303385.4397
196	300155.8409	305239.1114	312442.6769	305027.6608
197	301818.5883	306887.9792	314113.3822	306682.1939
198	303494.0103	308549.1947	315796.467	308349.1459
199	305272.4405	310431.0302	317492.038	310028.6251
